TASK #456 BUILD_RUNTIME STALENESS SWEEP MANIFEST
Date: 2026-06-10
Compiler snapshot: /tmp/runac_sweep (copy of v0.0.8.4.5.3.5/stage1/runac, 1039784 bytes, taken 09:11)
Invocation: /tmp/runac_sweep <src> <out.s> from v0.0.8.5 root; as <out.s> -o <out.o>; cmp vs installed.
Exception: runtime_overrides.o compiled from inside build_runtime/ (bare filename) to preserve its
  original path-derived module_init symbol name (runtime_overrides__module_init); no object references
  either name, but the original invocation style was reproduced. Body drift was genuine and refreshed.

Totals: 383 objects = 204 IDENTICAL / 154 REFRESHED / 25 SKIP (owner-mandated families:
  mir_*, lowering_*, lir_lir_builder, hir_* [incl. hir_to_julia], net family: p4snap_net_*,
  ipv4_address, ipv6_address, url). 0 unmappable, 0 compile failures, 0 assemble failures.
REFRESHED objects: stale copy preserved as <name>.o.stale456. 44 sibling .s files also refreshed
  (stale copy as <name>.s.stale456). Drift cause: objects predated the promoted stage1's local
  Display helper routines (print_string_nonl/print_integer_nonl etc.); global symbol sets verified
  unchanged for all 154 (single exception documented above).
Mapping method: defined-symbol prefix <dir>_<file>__ from nm, resolved against the source tree;
  ambiguous cases (8 mc_* arch files, 2 sys_security_*) resolved to compiler/backend paths and
  confirmed by byte-identity or matching global symbol sets; unicode_tables.o confirmed via
  UNICODE_COMPOSITION_TABLE definition in compiler/internal/unicode_tables.runa.

FORMAT: object | source | status
build_runtime/primitives/p4snap_io_file_path.o|compiler/frontend/primitives/io/file_path.runa|IDENTICAL
build_runtime/primitives/p4snap_io_mime_type.o|compiler/frontend/primitives/io/mime_type.runa|IDENTICAL
build_runtime/primitives/p4snap_linux_arm32_registers.o|compiler/frontend/primitives/platform/linux_arm32/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_linux_arm64_registers.o|compiler/frontend/primitives/platform/linux_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_manifest_manifest.o|compiler/frontend/primitives/manifest/manifest.runa|IDENTICAL
build_runtime/primitives/p4snap_manifest_version_constraint.o|compiler/frontend/primitives/manifest/version_constraint.runa|IDENTICAL
build_runtime/primitives/p4snap_manifest_version_spec.o|compiler/frontend/primitives/manifest/version_spec.runa|IDENTICAL
build_runtime/primitives/p4snap_markup_attribute.o|compiler/frontend/primitives/markup/attribute.runa|IDENTICAL
build_runtime/primitives/p4snap_markup_element.o|compiler/frontend/primitives/markup/element.runa|IDENTICAL
build_runtime/primitives/p4snap_markup_markdown.o|compiler/frontend/primitives/markup/markdown.runa|IDENTICAL
build_runtime/primitives/p4snap_markup_rml.o|compiler/frontend/primitives/markup/rml.runa|IDENTICAL
build_runtime/primitives/p4snap_markup_selector.o|compiler/frontend/primitives/markup/selector.runa|IDENTICAL
build_runtime/primitives/p4snap_mips32_registers.o|compiler/frontend/primitives/platform/mips32/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_mips64_registers.o|compiler/frontend/primitives/platform/mips64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_money_account.o|compiler/frontend/primitives/money/account.runa|IDENTICAL
build_runtime/primitives/p4snap_money_balance.o|compiler/frontend/primitives/money/balance.runa|IDENTICAL
build_runtime/primitives/p4snap_money_currency.o|compiler/frontend/primitives/money/currency.runa|IDENTICAL
build_runtime/primitives/p4snap_money_exchange_rate.o|compiler/frontend/primitives/money/exchange_rate.runa|IDENTICAL
build_runtime/primitives/p4snap_money_ledger_entry.o|compiler/frontend/primitives/money/ledger_entry.runa|IDENTICAL
build_runtime/primitives/p4snap_money_money.o|compiler/frontend/primitives/money/money.runa|IDENTICAL
build_runtime/primitives/p4snap_money_sovereign_credit.o|compiler/frontend/primitives/money/sovereign_credit.runa|IDENTICAL
build_runtime/primitives/p4snap_money_tax.o|compiler/frontend/primitives/money/tax.runa|IDENTICAL
build_runtime/primitives/p4snap_money_transaction_id.o|compiler/frontend/primitives/money/transaction_id.runa|IDENTICAL
build_runtime/primitives/p4snap_net_asn.o|compiler/frontend/primitives/net/asn.runa|SKIP
build_runtime/primitives/p4snap_net_domain.o|compiler/frontend/primitives/net/domain.runa|SKIP
build_runtime/primitives/p4snap_net_email_address.o|compiler/frontend/primitives/net/email_address.runa|SKIP
build_runtime/primitives/p4snap_net_network_port.o|compiler/frontend/primitives/net/network_port.runa|SKIP
build_runtime/primitives/p4snap_netbsd_arm64_registers.o|compiler/frontend/primitives/platform/netbsd_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_netbsd_arm64_threading.o|compiler/frontend/primitives/platform/netbsd_arm64/threading.runa|IDENTICAL
build_runtime/primitives/p4snap_netbsd_x64_atomic.o|compiler/frontend/primitives/platform/netbsd_x64/atomic.runa|IDENTICAL
build_runtime/primitives/p4snap_netbsd_x64_registers.o|compiler/frontend/primitives/platform/netbsd_x64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_netbsd_x64_syscall.o|compiler/frontend/primitives/platform/netbsd_x64/syscall.runa|IDENTICAL
build_runtime/primitives/p4snap_netbsd_x64_threading.o|compiler/frontend/primitives/platform/netbsd_x64/threading.runa|IDENTICAL
build_runtime/primitives/p4snap_openbsd_arm64_registers.o|compiler/frontend/primitives/platform/openbsd_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_openbsd_x64_atomic.o|compiler/frontend/primitives/platform/openbsd_x64/atomic.runa|IDENTICAL
build_runtime/primitives/p4snap_openbsd_x64_registers.o|compiler/frontend/primitives/platform/openbsd_x64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_openbsd_x64_syscall.o|compiler/frontend/primitives/platform/openbsd_x64/syscall.runa|IDENTICAL
build_runtime/primitives/p4snap_openbsd_x64_threading.o|compiler/frontend/primitives/platform/openbsd_x64/threading.runa|IDENTICAL
build_runtime/primitives/p4snap_powerpc_registers.o|compiler/frontend/primitives/platform/powerpc/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon.o|compiler/frontend/import_system/crypto/pq/falcon.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_ffs.o|compiler/frontend/import_system/crypto/pq/falcon_ffs.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_fft.o|compiler/frontend/import_system/crypto/pq/falcon_fft.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_fp.o|compiler/frontend/import_system/crypto/pq/falcon_fp.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_ldl.o|compiler/frontend/import_system/crypto/pq/falcon_ldl.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_ntrusolve.o|compiler/frontend/import_system/crypto/pq/falcon_ntrusolve.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_sampler.o|compiler/frontend/import_system/crypto/pq/falcon_sampler.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_zint.o|compiler/frontend/import_system/crypto/pq/falcon_zint.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_falcon_zint_poly.o|compiler/frontend/import_system/crypto/pq/falcon_zint_poly.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_ml_dsa.o|compiler/frontend/import_system/crypto/pq/ml_dsa.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_ml_kem.o|compiler/frontend/import_system/crypto/pq/ml_kem.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_ntt.o|compiler/frontend/import_system/crypto/pq/ntt.runa|IDENTICAL
build_runtime/primitives/p4snap_pq_slh_dsa.o|compiler/frontend/import_system/crypto/pq/slh_dsa.runa|IDENTICAL
build_runtime/primitives/p4snap_query_query_ast.o|compiler/frontend/primitives/query/query_ast.runa|IDENTICAL
build_runtime/primitives/p4snap_query_query_planner.o|compiler/frontend/primitives/query/query_planner.runa|IDENTICAL
build_runtime/primitives/p4snap_query_rql.o|compiler/frontend/primitives/query/rql.runa|IDENTICAL
build_runtime/primitives/p4snap_riscv32_registers.o|compiler/frontend/primitives/platform/riscv32/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_riscv64_registers.o|compiler/frontend/primitives/platform/riscv64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_schema_idl.o|compiler/frontend/primitives/schema/idl.runa|IDENTICAL
build_runtime/primitives/p4snap_schema_json_schema.o|compiler/frontend/primitives/schema/json_schema.runa|IDENTICAL
build_runtime/primitives/p4snap_schema_openapi.o|compiler/frontend/primitives/schema/openapi.runa|IDENTICAL
build_runtime/primitives/p4snap_streams_back_pressure.o|compiler/frontend/primitives/streams/back_pressure.runa|IDENTICAL
build_runtime/primitives/p4snap_streams_buffered_io.o|compiler/frontend/primitives/streams/buffered_io.runa|IDENTICAL
build_runtime/primitives/p4snap_streams_pipeline.o|compiler/frontend/primitives/streams/pipeline.runa|IDENTICAL
build_runtime/primitives/p4snap_streams_stream.o|compiler/frontend/primitives/streams/stream.runa|IDENTICAL
build_runtime/primitives/p4snap_style_cascade.o|compiler/frontend/primitives/style/cascade.runa|IDENTICAL
build_runtime/primitives/p4snap_style_property.o|compiler/frontend/primitives/style/property.runa|IDENTICAL
build_runtime/primitives/p4snap_style_selector.o|compiler/frontend/primitives/style/selector.runa|IDENTICAL
build_runtime/primitives/p4snap_style_style_rule.o|compiler/frontend/primitives/style/style_rule.runa|IDENTICAL
build_runtime/primitives/p4snap_text_grapheme.o|compiler/frontend/primitives/text/grapheme.runa|IDENTICAL
build_runtime/primitives/p4snap_text_locale.o|compiler/frontend/primitives/text/locale.runa|IDENTICAL
build_runtime/primitives/p4snap_text_normalized_string.o|compiler/frontend/primitives/text/normalized_string.runa|IDENTICAL
build_runtime/primitives/p4snap_text_text_direction.o|compiler/frontend/primitives/text/text_direction.runa|IDENTICAL
build_runtime/primitives/p4snap_time_calendar_system.o|compiler/frontend/primitives/time/calendar_system.runa|IDENTICAL
build_runtime/primitives/p4snap_time_time_span.o|compiler/frontend/primitives/time/time_span.runa|IDENTICAL
build_runtime/primitives/p4snap_units_dimension.o|compiler/frontend/primitives/units/dimension.runa|IDENTICAL
build_runtime/primitives/p4snap_units_physical_constants.o|compiler/frontend/primitives/units/physical_constants.runa|IDENTICAL
build_runtime/primitives/p4snap_units_quantity.o|compiler/frontend/primitives/units/quantity.runa|IDENTICAL
build_runtime/primitives/p4snap_units_unit.o|compiler/frontend/primitives/units/unit.runa|IDENTICAL
build_runtime/primitives/p4snap_windows_arm64_registers.o|compiler/frontend/primitives/platform/windows_arm64/registers.runa|IDENTICAL
build_runtime/primitives/p4snap_windows_x86_64_atomic.o|compiler/frontend/primitives/platform/windows_x86_64/atomic.runa|IDENTICAL
build_runtime/primitives/p4snap_windows_x86_64_registers.o|compiler/frontend/primitives/platform/windows_x86_64/registers.runa|IDENTICAL
build_runtime/primitives/parking_lot.o|compiler/frontend/primitives/concurrency/parking_lot.runa|REFRESHED
build_runtime/primitives/platform_selector.o|compiler/frontend/primitives/platform/platform_selector.runa|REFRESHED
build_runtime/primitives/pointer_primitive.o|compiler/frontend/primitives/core/pointer_primitive.runa|REFRESHED
build_runtime/primitives/polynomial.o|compiler/frontend/primitives/numeric/extended/polynomial.runa|REFRESHED
build_runtime/primitives/quaternion.o|compiler/frontend/primitives/numeric/extended/quaternion.runa|REFRESHED
build_runtime/primitives/rational.o|compiler/frontend/primitives/numeric/extended/rational.runa|REFRESHED
build_runtime/primitives/regex.o|compiler/frontend/primitives/text/regex.runa|REFRESHED
build_runtime/primitives/register_map.o|compiler/frontend/primitives/assembly/register_map.runa|REFRESHED
build_runtime/primitives/runtime_api.o|runtime/integration/runtime_api.runa|REFRESHED
build_runtime/primitives/rwlock.o|compiler/frontend/primitives/concurrency/rwlock.runa|REFRESHED
build_runtime/primitives/schema.o|compiler/frontend/primitives/schema/schema.runa|REFRESHED
build_runtime/primitives/semaphore.o|compiler/frontend/primitives/concurrency/semaphore.runa|REFRESHED
build_runtime/primitives/set.o|compiler/frontend/primitives/collections/set.runa|IDENTICAL
build_runtime/primitives/softfloat.o|compiler/frontend/primitives/core/softfloat.runa|REFRESHED
build_runtime/primitives/sparse_matrix.o|compiler/frontend/primitives/numeric/extended/sparse_matrix.runa|REFRESHED
build_runtime/primitives/string_builder.o|compiler/frontend/primitives/collections/string_builder.runa|REFRESHED
build_runtime/primitives/string_core.o|compiler/frontend/primitives/core/string_core.runa|IDENTICAL
build_runtime/primitives/string_primitive.o|compiler/frontend/primitives/core/string_primitive.runa|REFRESHED
build_runtime/primitives/string_utils.o|compiler/internal/string_utils.runa|REFRESHED
build_runtime/primitives/sync_core.o|compiler/frontend/primitives/threading/sync_core.runa|REFRESHED
build_runtime/primitives/syscall_manager.o|runtime/integration/system_interface/syscall_manager.runa|REFRESHED
build_runtime/primitives/syscall_router.o|compiler/frontend/primitives/assembly/syscall.runa|IDENTICAL
build_runtime/primitives/system_info.o|runtime/integration/system_interface/wrappers/system_info.runa|IDENTICAL
build_runtime/primitives/task.o|compiler/frontend/primitives/concurrency/task.runa|REFRESHED
build_runtime/primitives/tensor_base.o|compiler/frontend/primitives/numeric/extended/tensor_base.runa|REFRESHED
build_runtime/primitives/thread_core.o|compiler/frontend/primitives/threading/thread_core.runa|REFRESHED
build_runtime/primitives/threading.o|compiler/frontend/primitives/assembly/threading.runa|IDENTICAL
build_runtime/primitives/time_of_day.o|compiler/frontend/primitives/time/time_of_day.runa|REFRESHED
build_runtime/primitives/time_reference.o|compiler/frontend/primitives/time/time_reference.runa|REFRESHED
build_runtime/primitives/timezone.o|compiler/frontend/primitives/time/timezone.runa|REFRESHED
build_runtime/primitives/trig_core.o|compiler/frontend/primitives/core/trig_core.runa|IDENTICAL
build_runtime/primitives/unicode_tables.o|compiler/internal/unicode_tables.runa|REFRESHED
build_runtime/primitives/units_of_measure.o|compiler/frontend/primitives/units/units_of_measure.runa|REFRESHED
build_runtime/primitives/url.o|compiler/frontend/primitives/net/url.runa|SKIP
build_runtime/primitives/uuid.o|compiler/frontend/primitives/identity/uuid.runa|REFRESHED
build_runtime/primitives/validation.o|compiler/frontend/primitives/types/validation.runa|REFRESHED
build_runtime/primitives/vector.o|compiler/frontend/primitives/numeric/extended/vector.runa|REFRESHED
build_runtime/primitives/vector_n.o|compiler/frontend/primitives/numeric/extended/vector_n.runa|REFRESHED
build_runtime/primitives/work_stealing_queue.o|compiler/frontend/primitives/concurrency/work_stealing_queue.runa|REFRESHED
build_runtime/runtime_overrides.o|build_runtime/runtime_overrides.runa|REFRESHED
build_runtime/sys_compiler_syscalls.o|compiler/backend/syscalls/compiler_syscalls.runa|REFRESHED
build_runtime/sys_platforms_darwin_arm64.o|compiler/backend/syscalls/platforms/darwin_arm64.runa|REFRESHED
build_runtime/sys_platforms_darwin_x86_64.o|compiler/backend/syscalls/platforms/darwin_x86_64.runa|REFRESHED
build_runtime/sys_platforms_freebsd_arm64.o|compiler/backend/syscalls/platforms/freebsd_arm64.runa|REFRESHED
build_runtime/sys_platforms_freebsd_x86_64.o|compiler/backend/syscalls/platforms/freebsd_x86_64.runa|REFRESHED
build_runtime/sys_platforms_linux_arm32.o|compiler/backend/syscalls/platforms/linux_arm32.runa|REFRESHED
build_runtime/sys_platforms_linux_arm64.o|compiler/backend/syscalls/platforms/linux_arm64.runa|REFRESHED
build_runtime/sys_platforms_linux_x86_64.o|compiler/backend/syscalls/platforms/linux_x86_64.runa|REFRESHED
build_runtime/sys_platforms_mips32.o|compiler/backend/syscalls/platforms/mips32.runa|REFRESHED
build_runtime/sys_platforms_mips64.o|compiler/backend/syscalls/platforms/mips64.runa|REFRESHED
build_runtime/sys_platforms_netbsd_arm64.o|compiler/backend/syscalls/platforms/netbsd_arm64.runa|REFRESHED
build_runtime/sys_platforms_netbsd_x86_64.o|compiler/backend/syscalls/platforms/netbsd_x86_64.runa|REFRESHED
build_runtime/sys_platforms_openbsd_arm64.o|compiler/backend/syscalls/platforms/openbsd_arm64.runa|REFRESHED
build_runtime/sys_platforms_openbsd_x86_64.o|compiler/backend/syscalls/platforms/openbsd_x86_64.runa|REFRESHED
build_runtime/sys_platforms_platform_interface.o|compiler/backend/syscalls/platforms/platform_interface.runa|REFRESHED
build_runtime/sys_platforms_powerpc.o|compiler/backend/syscalls/platforms/powerpc.runa|REFRESHED
build_runtime/sys_platforms_riscv32.o|compiler/backend/syscalls/platforms/riscv32.runa|REFRESHED
build_runtime/sys_platforms_riscv64.o|compiler/backend/syscalls/platforms/riscv64.runa|REFRESHED
build_runtime/sys_platforms_wasm_wasi.o|compiler/backend/syscalls/platforms/wasm_wasi.runa|REFRESHED
build_runtime/sys_platforms_windows_arm64.o|compiler/backend/syscalls/platforms/windows_arm64.runa|REFRESHED
build_runtime/sys_platforms_windows_x86_64.o|compiler/backend/syscalls/platforms/windows_x86_64.runa|REFRESHED
build_runtime/sys_security_permission_checker.o|compiler/backend/syscalls/security/permission_checker.runa|REFRESHED
build_runtime/sys_security_sandbox_manager.o|compiler/backend/syscalls/security/sandbox_manager.runa|REFRESHED
build_runtime/sys_syscall_registry.o|compiler/backend/syscalls/syscall_registry.runa|REFRESHED
build_runtime/sys_syscalls_generator.o|compiler/backend/syscalls/syscalls_generator.runa|REFRESHED
build_runtime/transformations_optimization.o|compiler/middle/transformations/optimization.runa|REFRESHED
build_runtime/wrappers_environment_manager.o|runtime/integration/system_interface/wrappers/environment_manager.runa|REFRESHED
